id	lg_id	name	province_id	district_id	centroid
LG-11001	LG-11001	Colombo MC	LK-1	LK-11	[6.921082, 79.866104]
LG-11002	LG-11002	Kolonnawa UC	LK-1	LK-11	[6.93847, 79.888101]
LG-11003	LG-11003	Kotikawatta PS	LK-1	LK-11	[6.933489, 79.9224]
LG-11004	LG-11004	Kaduwela MC	LK-1	LK-11	[6.903622, 79.978318]
LG-11005	LG-11005	Homagama PS	LK-1	LK-11	[6.831278, 80.022395]
LG-11006	LG-11006	Seethawaka PS	LK-1	LK-11	[6.88498, 80.136787]
LG-11007	LG-11007	Seethawakapura UC	LK-1	LK-11	[6.953717, 80.200385]
LG-11008	LG-11008	Maharagama UC	LK-1	LK-11	[6.856942, 79.942632]
LG-11009	LG-11009	Sri Jayawardenepura Kotte MC	LK-1	LK-11	[6.891056, 79.898758]
LG-11010	LG-11010	Dehiwala Mt.Lavinia MC	LK-1	LK-11	[6.839296, 79.877437]
LG-11011	LG-11011	Moratuwa MC	LK-1	LK-11	[6.782673, 79.891096]
LG-11012	LG-11012	Boralesgamuwa UC	LK-1	LK-11	[6.839184, 79.902693]
LG-11013	LG-11013	Kesbewa UC	LK-1	LK-11	[6.795685, 79.933953]
LG-12001	LG-12001	Negombo MC	LK-1	LK-12	[7.213224, 79.844835]
LG-12002	LG-12002	Katana PS	LK-1	LK-12	[7.206471, 79.893118]
LG-12003	LG-12003	Katunayaka-Seeduwa UC	LK-1	LK-12	[7.155487, 79.878402]
LG-12004	LG-12004	Divulapitiya PS	LK-1	LK-12	[7.254006, 80.007356]
LG-12005	LG-12005	Mirigama PS	LK-1	LK-12	[7.224957, 80.123625]
LG-12006	LG-12006	Minuwangoda PS	LK-1	LK-12	[7.154431, 79.979446]
LG-12007	LG-12007	Minuwangoda UC	LK-1	LK-12	[7.170673, 79.951487]
LG-12008	LG-12008	Wattala PS	LK-1	LK-12	[7.038927, 79.879816]
LG-12009	LG-12009	Wattala-Mabola UC	LK-1	LK-12	[6.989437, 79.893988]
LG-12010	LG-12010	Ja-Ela PS	LK-1	LK-12	[7.071591, 79.911966]
LG-12011	LG-12011	Ja-Ela UC	LK-1	LK-12	[7.072181, 79.887066]
LG-12012	LG-12012	Gampaha PS	LK-1	LK-12	[7.061558, 79.980074]
LG-12013	LG-12013	Gampaha MC	LK-1	LK-12	[7.092609, 80.023639]
LG-12014	LG-12014	Attanagalla PS	LK-1	LK-12	[7.114604, 80.110002]
LG-12015	LG-12015	Dompe PS	LK-1	LK-12	[6.990666, 80.099049]
LG-12016	LG-12016	Mahara PS	LK-1	LK-12	[7.02963, 80.015565]
LG-12017	LG-12017	Kelaniya PS	LK-1	LK-12	[6.971713, 79.914225]
LG-12018	LG-12018	Peliyagoda UC	LK-1	LK-12	[6.962824, 79.889269]
LG-12019	LG-12019	Biyagama PS	LK-1	LK-12	[6.968969, 79.978067]
LG-13001	LG-13001	Panadura PS	LK-1	LK-13	[6.716223, 79.925242]
LG-13002	LG-13002	Panadura UC	LK-1	LK-13	[6.713631, 79.911861]
LG-13003	LG-13003	Bandaragama PS	LK-1	LK-13	[6.718942, 79.975337]
LG-13004	LG-13004	Horana PS	LK-1	LK-13	[6.760392, 80.100365]
LG-13005	LG-13005	Horana UC	LK-1	LK-13	[6.715514, 80.065364]
LG-13006	LG-13006	Bulathsinhala PS	LK-1	LK-13	[6.648438, 80.175247]
LG-13007	LG-13007	Madurawala PS	LK-1	LK-13	[6.649362, 80.095827]
